date	SLIM2	WASD2	KPTV2	CBBV2	LWTV2	BLTM2	APAM2	BISM2	AXTV2	NCDV2	SWPV2
2017-06-22 06:00:00	1.79	0.35	-0.078	0.019	1.63	1.128	1.557	1.557	-0.2	-0.3	-0.131
2017-06-22 07:00:00	1.508	1.02	0.15	0.38	1.249	1.538	1.79	1.79	-0.2	-0.3	-0.019
2017-06-22 08:00:00	1.17	2.059	0.741	1.059	0.898	1.899	1.889	1.889	-0.2	-0.3	0.39
2017-06-22 09:00:00	0.839	2.869	1.59	1.879	0.61	2.079	1.84	1.84	-0.2	-0.3	1.108
2017-06-22 10:00:00	0.619	3.388	2.318	2.42	0.409	2.059	1.63	1.63	-0.2	-0.3	1.84
2017-06-22 11:00:00	0.487	3.549	2.721	2.674	0.425	1.955	1.325	1.325	-0.2	-0.3	2.388
2017-06-22 12:00:00	0.518	3.283	2.854	2.592	0.636	1.736	1.082	1.082	-0.2	-0.3	2.733
2017-06-22 13:00:00	0.732	2.711	2.53	2.312	0.988	1.366	0.843	0.843	-0.2	-0.3	2.619
2017-06-22 14:00:00	1.058	2.056	1.914	1.671	1.362	1.087	0.676	0.676	-0.2	-0.3	2.174
2017-06-22 15:00:00	1.38	1.468	1.145	0.996	1.654	0.839	0.654	0.654	-0.2	-0.3	1.613
2017-06-22 16:00:00	1.615	0.889	0.544	0.351	1.817	0.669	0.781	0.781	-0.2	-0.3	0.907
2017-06-22 17:00:00	1.719	0.509	0.129	0.084	1.825	0.636	0.989	0.989	-0.3	-0.3	0.356
2017-06-22 18:00:00	1.781	0.45	0.112	0.286	1.77	0.979	1.413	1.413	-0.3	-0.3	0.206
2017-06-22 19:00:00	1.533	0.541	0.505	0.83	1.439	1.198	1.555	1.555	-0.3	-0.3	0.352
2017-06-22 20:00:00	1.192	1.211	1.256	1.643	1.063	1.463	1.629	1.629	-0.3	-0.3	0.881
2017-06-22 21:00:00	0.853	2.179	2.299	2.664	0.747	1.661	1.584	1.584	-0.3	-0.3	1.673
2017-06-22 22:00:00	0.584	2.962	3.191	3.365	0.553	1.709	1.415	1.415	-0.3	-0.3	2.534
2017-06-22 23:00:00	0.435	3.349	3.8	3.838	0.526	1.694	1.179	1.179	-0.3	-0.3	3.262
2017-06-23 00:00:00	0.464	3.31	4.006	4.006	0.706	1.465	1.037	1.037	-0.3	-0.3	3.691
2017-06-23 01:00:00	0.709	2.874	3.804	3.695	1.074	1.199	0.828	0.828	-0.3	-0.3	3.729
2017-06-23 02:00:00	1.216	2.223	3.242	3.035	1.522	0.961	0.705	0.705	-0.3	-0.3	3.375
2017-06-23 03:00:00	1.658	1.575	2.417	2.014	1.922	0.803	0.739	0.739	-0.3	-0.3	2.708
2017-06-23 04:00:00	2.023	1.049	1.509	1.059	2.197	0.77	0.96	0.96	-0.2	-0.3	1.878
2017-06-23 05:00:00	2.256	0.785	0.644	0.269	2.311	0.898	1.31	1.31	-0.2	-0.3	0.972
2017-06-23 06:00:00	2.324	0.591	0.201	0.018	2.232	1.202	1.698	1.698	-0.2	-0.3	0.38
2017-06-23 07:00:00	2.21	0.706	0.164	0.104	1.963	1.745	2.16	2.16	-0.2	-0.3	0.039
2017-06-23 08:00:00	1.95	1.37	0.436	0.635	1.576	2.229	2.445	2.445	-0.2	-0.3	0.204
2017-06-23 09:00:00	1.625	2.462	1.136	1.39	1.182	2.629	2.588	2.588	-0.2	-0.3	0.72
2017-06-23 10:00:00	1.305	3.467	1.964	2.171	0.866	2.844	2.549	2.549	-0.2	-0.3	1.442
2017-06-23 11:00:00	1.033	4.031	2.667	2.746	0.684	2.841	2.357	2.357	-0.2	-0.3	2.172
2017-06-23 12:00:00	0.868	4.109	3.151	3.074	0.686	2.657	2.076	2.076	-0.2	-0.3	2.716
2017-06-23 13:00:00	0.882	3.745	3.143	2.946	0.793	2.358	1.757	1.757	-0.2	-0.3	2.933
2017-06-23 14:00:00	1.086	3.093	2.759	2.492	1.138	2.008	1.449	1.449	-0.2	-0.4	2.766
2017-06-23 15:00:00	1.295	2.385	2.07	1.759	1.495	1.653	1.23	1.23	-0.2	-0.4	2.254
2017-06-23 16:00:00	1.592	1.748	1.238	0.909	1.764	1.235	1.069	1.069	-0.2	-0.4	1.525
2017-06-23 17:00:00	1.8	1.204	0.397	0.129	1.9	1.009	1.159	1.159	-0.2	-0.5	0.767
2017-06-23 18:00:00	1.873	0.838	-0.032	-0.142	1.872	1.035	1.426	1.426	-0.2	-0.5	0.184
2017-06-23 19:00:00	1.775	0.53	-0.134	-0.045	1.663	1.14	1.606	1.606	-0.2	-0.4	-0.159
2017-06-23 20:00:00	1.514	0.675	0.304	0.541	1.315	1.386	1.758	1.758	-0.1	-0.4	0.023
2017-06-23 21:00:00	1.165	1.432	1.106	1.4	0.832	1.771	1.833	1.833	-0.1	-0.4	0.597
2017-06-23 22:00:00	0.824	2.447	2.092	2.359	0.514	1.975	1.881	1.881	-0.1	-0.4	1.43
2017-06-23 23:00:00	0.658	3.237	3.0	3.271	0.426	2.018	1.706	1.706	-0.1	-0.5	2.319
2017-06-24 00:00:00	0.42	3.613	3.7	3.731	0.418	1.894	1.466	1.466	-0.1	-0.5	3.054
2017-06-24 01:00:00	0.473	3.539	3.879	3.771	0.624	1.657	1.222	1.222	-0.1	-0.5	3.469
2017-06-24 02:00:00	0.748	3.067	3.634	3.41	1.015	1.386	1.013	1.013	-0.1	-0.5	3.575
2017-06-24 03:00:00	1.173	2.407	3.018	2.684	1.475	1.151	0.9	0.9	-0.2	-0.5	3.175
2017-06-24 04:00:00	1.619	1.768	2.142	1.604	1.975	1.002	0.856	0.856	-0.2	-0.4	2.36
2017-06-24 05:00:00	2.079	1.146	1.103	0.529	2.245	0.984	1.099	1.099	-0.2	-0.4	1.49
2017-06-24 06:00:00	2.301	0.769	0.234	-0.241	2.344	1.133	1.462	1.462	-0.2	-0.4	0.463
2017-06-24 07:00:00	2.35	0.558	-0.191	-0.553	2.242	1.458	1.855	1.855	-0.2	-0.3	-0.223
2017-06-24 08:00:00	2.214	0.703	-0.293	-0.325	1.947	1.913	2.217	2.217	-0.3	-0.3	-0.432
2017-06-24 09:00:00	1.934	1.438	0.13	0.252	1.541	2.296	2.492	2.492	-0.3	-0.3	-0.319
2017-06-24 10:00:00	1.594	2.466	0.881	0.951	1.138	2.68	2.613	2.613	-0.3	-0.3	0.249
2017-06-24 11:00:00	1.262	3.448	1.742	1.858	0.72	2.969	2.548	2.548	-0.3	-0.3	1.012
2017-06-24 12:00:00	0.983	3.969	2.55	2.533	0.545	2.938	2.333	2.333	-0.3	-0.3	1.762
2017-06-24 13:00:00	0.824	3.999	2.918	2.745	0.566	2.728	2.033	2.033	-0.3	-0.3	2.403
2017-06-24 14:00:00	0.857	3.589	2.882	2.589	0.796	2.309	1.699	1.699	-0.3	-0.3	2.594
2017-06-24 15:00:00	0.981	2.92	2.459	1.99	1.155	2.044	1.386	1.386	-0.3	-0.3	2.288
2017-06-24 16:00:00	1.301	2.319	1.733	1.21	1.514	1.68	1.278	1.278	-0.2	-0.4	1.736
2017-06-24 17:00:00	1.602	1.686	0.881	0.24	1.781	1.361	1.238	1.238	-0.2	-0.4	0.877
2017-06-24 18:00:00	1.91	1.13	0.047	-0.521	1.912	1.248	1.346	1.346	-0.2	-0.4	0.107
2017-06-24 19:00:00	1.978	0.639	-0.358	-0.754	1.873	1.1	1.526	1.526	-0.2	-0.4	-0.565
2017-06-24 20:00:00	1.869	0.344	-0.528	-0.525	1.749	1.238	1.716	1.716	-0.2	-0.4	-0.878
2017-06-24 21:00:00	1.6	0.571	-0.055	0.187	1.393	1.512	1.776	1.776	-0.3	-0.5	-0.558
2017-06-24 22:00:00	1.252	1.415	0.877	1.168	1.011	1.713	1.85	1.85	-0.3	-0.4	0.25
2017-06-24 23:00:00	0.917	2.354	1.973	2.233	0.701	1.917	1.79	1.79	-0.3	-0.4	1.202
2017-06-25 00:00:00	0.559	3.126	2.966	3.226	0.424	1.95	1.51	1.51	-0.3	-0.4	2.19
2017-06-25 01:00:00	0.435	3.468	3.632	3.75	0.434	1.714	1.271	1.271	-0.3	-0.4	3.005
2017-06-25 02:00:00	0.409	3.349	3.87	3.748	0.662	1.469	0.928	0.928	-0.3	-0.4	3.484
2017-06-25 03:00:00	0.704	2.847	3.585	3.341	1.067	1.197	0.723	0.723	-0.3	-0.4	3.547
2017-06-25 04:00:00	1.135	2.189	2.931	2.571	1.523	0.866	0.522	0.522	-0.3	-0.4	3.106
2017-06-25 05:00:00	1.571	1.563	1.932	1.571	1.911	0.626	0.597	0.597	-0.3	-0.5	2.36
2017-06-25 06:00:00	1.915	1.046	0.997	0.619	2.165	0.619	0.854	0.854	-0.4	-0.5	1.477
2017-06-25 07:00:00	2.118	0.657	0.255	0.001	2.245	0.679	1.117	1.117	-0.4	-0.5	0.662
2017-06-25 08:00:00	2.144	0.34	-0.13	-0.158	2.12	1.01	1.503	1.503	-0.4	-0.5	0.11
2017-06-25 09:00:00	1.985	0.528	-0.085	0.211	1.805	1.462	1.851	1.851	-0.4	-0.4	-0.049
2017-06-25 10:00:00	1.59	1.327	0.384	0.823	1.393	1.927	2.105	2.105	-0.4	-0.4	0.217
2017-06-25 11:00:00	1.244	2.463	1.267	1.646	0.894	2.282	2.196	2.196	-0.4	-0.5	0.927
2017-06-25 12:00:00	0.908	3.394	2.233	2.551	0.584	2.439	2.103	2.103	-0.4	-0.5	1.71
2017-06-25 13:00:00	0.631	3.856	2.921	3.202	0.423	2.38	1.871	1.871	-0.4	-0.5	2.556
2017-06-25 14:00:00	0.487	3.834	3.257	3.382	0.466	2.15	1.562	1.562	-0.4	-0.5	3.169
2017-06-25 15:00:00	0.545	3.39	3.287	3.193	0.715	1.722	1.124	1.124	-0.4	-0.5	3.322
2017-06-25 16:00:00	0.788	2.722	2.834	2.66	1.079	1.356	0.819	0.819	-0.4	-0.6	3.078
2017-06-25 17:00:00	1.114	2.038	2.092	1.86	1.432	0.998	0.633	0.633	-0.4	-0.6	2.498
2017-06-25 18:00:00	1.413	1.416	1.246	1.003	1.691	0.696	0.62	0.62	-0.4	-0.6	1.73
2017-06-25 19:00:00	1.619	0.855	0.44	0.385	1.914	0.411	0.748	0.748	-0.4	-0.6	0.973
2017-06-25 20:00:00	1.68	0.36	0.072	0.195	1.864	0.399	0.939	0.939	-0.4	-0.5	0.331
2017-06-25 21:00:00	1.564	0.008	0.134	0.446	1.632	0.671	1.138	1.138	-0.5	-0.5	0.258
2017-06-25 22:00:00	1.394	0.334	0.625	1.064	1.277	0.97	1.402	1.402	-0.5	-0.5	0.511
2017-06-25 23:00:00	1.055	1.251	1.56	1.938	0.907	1.278	1.473	1.473	-0.5	-0.5	1.136
2017-06-26 00:00:00	0.733	2.284	2.533	2.976	0.612	1.576	1.408	1.408	-0.5	-0.4	1.98
2017-06-26 01:00:00	0.487	3.009	3.379	3.719	0.45	1.595	1.228	1.228	-0.5	-0.4	2.836
2017-06-26 02:00:00	0.377	3.301	3.989	4.086	0.476	1.447	1.095	1.095	-0.5	-0.4	3.503
2017-06-26 03:00:00	0.47	3.136	4.081	4.038	0.718	1.199	0.858	0.858	-0.5	-0.4	3.929
2017-06-26 04:00:00	0.773	2.616	3.762	3.597	1.222	0.931	0.661	0.661	-0.5	-0.4	3.746
2017-06-26 05:00:00	1.296	1.97	2.991	2.712	1.661	0.807	0.573	0.573	-0.5	-0.4	3.274
