Date,time,wse
07/24/2017, 11:00:00,1.75
07/24/2017, 12:00:00,	1.34
07/24/2017, 13:00:00,	0.68
07/24/2017, 14:00:00,	0.07
07/24/2017, 15:00:00,	-0.48
07/24/2017, 16:00:00,	-0.84
07/24/2017, 17:00:00,	-0.88
07/24/2017, 18:00:00,	-0.2
07/24/2017, 19:00:00,	0.82
07/24/2017, 20:00:00,	1.91
07/24/2017, 21:00:00,	2.65
07/24/2017, 22:00:00,	2.92
07/24/2017, 23:00:00,	2.57
07/25/2017	, 00:00:00,	1.94
07/25/2017	, 01:00:00,	1.19
07/25/2017	, 02:00:00,	0.44
07/25/2017	, 03:00:00,	-0.25
07/25/2017	, 04:00:00,	-0.76
07/25/2017	, 05:00:00,	-1.12
07/25/2017	, 06:00:00,	-1.09
07/25/2017	, 07:00:00, -0.21
07/25/2017	, 08:00:00,	1.01
07/25/2017	, 09:00:00,	2.01
07/25/2017	, 10:00:00,	2.68
07/25/2017	, 11:00:00,	2.75
07/25/2017	, 12:00:00,	2.19
07/25/2017	, 13:00:00,	1.46
07/25/2017	, 14:00:00,	0.67
07/25/2017	, 15:00:00,	-0.07
07/25/2017	, 16:00:00, -0.68
07/25/2017	, 17:00:00,	-1.12
07/25/2017	, 18:00:00, -1.38
07/25/2017	, 19:00:00,	-1.16
07/25/2017	, 20:00:00, -0.19
07/25/2017	, 21:00:00,	0.91
07/25/2017	, 22:00:00,	1.72
07/25/2017	, 23:00:00,	2.1
07/26/2017	, 00:00:00,	1.89
07/26/2017	, 01:00:00,	1.33
07/26/2017	, 02:00:00,	0.62
07/26/2017	, 03:00:00,	-0.12
07/26/2017	, 04:00:00, -0.74
07/26/2017	, 05:00:00,	-1.16
